id,cuisines[0],cuisines[1],cuisines[2],cuisines[3],cuisines[4]
4593,Korean,,,,
4594,North Indian,Cold Drinks,Chinese,,
4595,Chinese,Italian,North Indian,Mexican,Fast Food
4596,Japanese,,,,
4597,Beverages,Cold Drinks,Fast Food,Italian,Japanese
4598,Chinese,Fast Food,Italian,Beverages,
4599,Beverages,,,,
4600,Fast Food,Italian,Korean,Beverages,Chinese
4601,Beverages,,,,
4602,South Indian,North Indian,,,
4603,Beverages,,,,
4604,Chinese,Italian,North Indian,Fast Food,
4605,Chinese,Fast Food,South Indian,,
4606,Beverages,,,,
4607,South Indian,Cold Drinks,,,
4608,North Indian,Fast Food,Beverages,Korean,Italian
4609,Fast Food,Italian,North Indian,Cold Drinks,
4610,Italian,Japanese,,,
4611,Japanese,,,,
4612,Cold Drinks,North Indian,Japanese,Mexican,Beverages
4613,South Indian,,,,
4614,Italian,,,,
4615,Beverages,,,,
4616,Italian,Mexican,Chinese,Japanese,Beverages
4617,North Indian,Japanese,Mexican,Beverages,Fast Food
4618,North Indian,Chinese,Japanese,Fast Food,
4619,Beverages,North Indian,Korean,Mexican,
4620,Cold Drinks,Fast Food,South Indian,Beverages,Italian
4621,Cold Drinks,,,,
4622,Cold Drinks,South Indian,,,
4623,Chinese,,,,
4624,Fast Food,Beverages,Cold Drinks,Korean,
4625,Chinese,South Indian,North Indian,,
4626,Cold Drinks,Japanese,,,
4627,Korean,,,,
4628,Chinese,,,,
4629,Chinese,South Indian,Italian,,
4630,Japanese,Beverages,Cold Drinks,Korean,
4631,North Indian,Italian,Beverages,,
4632,North Indian,Fast Food,Beverages,,
4633,Japanese,Cold Drinks,Fast Food,Mexican,North Indian
4634,North Indian,Italian,Japanese,,
4635,Mexican,South Indian,Cold Drinks,,
4636,Japanese,Mexican,,,
4637,Cold Drinks,Italian,Chinese,Mexican,
4638,Mexican,South Indian,Japanese,Chinese,
4639,Japanese,,,,
4640,Beverages,,,,
4641,Fast Food,Mexican,,,
4642,Mexican,Cold Drinks,Korean,,
4643,Korean,Beverages,Italian,,
4644,Beverages,,,,
4645,Mexican,Italian,North Indian,,
4646,Chinese,Italian,Japanese,,
4647,Korean,Mexican,Italian,North Indian,
4648,Japanese,Mexican,Chinese,North Indian,Korean
4649,Beverages,,,,
4650,Japanese,Cold Drinks,North Indian,,
4651,South Indian,,,,
4652,Japanese,Mexican,North Indian,,
4653,South Indian,Chinese,Beverages,Italian,
4654,Korean,Chinese,Beverages,,
4655,Mexican,North Indian,Cold Drinks,,
4656,Fast Food,Beverages,North Indian,Cold Drinks,
4657,Chinese,,,,
4658,Korean,Japanese,Cold Drinks,,
4659,Mexican,Korean,,,
4660,Korean,Japanese,South Indian,Fast Food,
4661,Fast Food,,,,
4662,Korean,Chinese,Mexican,,
4663,Japanese,Italian,North Indian,,
4664,Beverages,Chinese,Japanese,North Indian,
4665,North Indian,Korean,Beverages,Japanese,
4666,Chinese,South Indian,Japanese,Korean,Italian
4667,Japanese,South Indian,North Indian,Beverages,Chinese
4668,Chinese,,,,
4669,Fast Food,Beverages,,,
4670,Fast Food,Mexican,Cold Drinks,North Indian,
4671,Beverages,Fast Food,Japanese,North Indian,Mexican
4672,South Indian,Beverages,,,
4673,Korean,,,,
4674,Mexican,Beverages,Korean,Cold Drinks,
4675,North Indian,South Indian,Fast Food,Japanese,
4676,Italian,,,,
4677,Mexican,Korean,Fast Food,,
4678,Fast Food,Beverages,,,
4679,Mexican,Cold Drinks,Korean,Beverages,Japanese
4680,Japanese,Korean,South Indian,North Indian,Chinese
4681,Fast Food,,,,
4682,South Indian,Cold Drinks,,,
4683,Fast Food,,,,
4684,Fast Food,Beverages,Cold Drinks,Italian,
4685,Chinese,,,,
4686,Korean,Beverages,Chinese,North Indian,Japanese
4687,Cold Drinks,,,,
4688,South Indian,Italian,Fast Food,,
4689,Italian,Cold Drinks,Chinese,,
4690,Korean,Italian,North Indian,,
4691,Korean,Chinese,,,
4692,North Indian,Fast Food,Italian,Cold Drinks,
4693,Beverages,Japanese,North Indian,,
4694,Chinese,Beverages,North Indian,,
4695,Fast Food,,,,
4696,Italian,Beverages,Japanese,Korean,
4697,North Indian,South Indian,,,
4698,Mexican,North Indian,,,
4699,Beverages,Korean,,,
4700,Fast Food,Mexican,North Indian,Cold Drinks,Japanese
4701,North Indian,Fast Food,Mexican,Cold Drinks,
4702,Fast Food,,,,
4703,Fast Food,Italian,Chinese,,
4704,North Indian,,,,
4705,Cold Drinks,Korean,Italian,Beverages,Fast Food
4706,Cold Drinks,,,,
4707,Italian,Korean,Mexican,Cold Drinks,Beverages
4708,Fast Food,Korean,Cold Drinks,,
4709,South Indian,Italian,Mexican,Chinese,Cold Drinks
4710,South Indian,Beverages,,,
4711,Italian,,,,
4712,Japanese,,,,
4713,Chinese,Japanese,Italian,,
4714,Italian,Chinese,Fast Food,,
4715,Korean,Mexican,Japanese,North Indian,Italian
4716,Italian,,,,
4717,Korean,Beverages,,,
4718,Cold Drinks,Beverages,Mexican,South Indian,
4719,Mexican,South Indian,Cold Drinks,Fast Food,
4720,North Indian,Cold Drinks,Chinese,Beverages,
4721,Korean,Japanese,Mexican,,
4722,Fast Food,Japanese,Chinese,Beverages,
4723,Cold Drinks,Fast Food,Korean,Japanese,North Indian
4724,South Indian,Japanese,Italian,,
4725,Chinese,Japanese,Mexican,Italian,Korean
4726,Chinese,,,,
4727,Beverages,North Indian,Korean,Fast Food,Italian
4728,Mexican,,,,
4729,Italian,North Indian,Korean,Beverages,
4730,Japanese,North Indian,Italian,Korean,Fast Food
4731,Italian,Cold Drinks,Japanese,Beverages,
4732,Korean,North Indian,Chinese,,
4733,Cold Drinks,,,,
4734,North Indian,Mexican,,,
4735,Korean,,,,
4736,Italian,North Indian,Korean,,
4737,Mexican,Chinese,,,
4738,Fast Food,Italian,,,
4739,Chinese,Mexican,South Indian,Beverages,
4740,Italian,Fast Food,Chinese,Beverages,Cold Drinks
4741,Cold Drinks,Fast Food,Beverages,Italian,
4742,Beverages,,,,
4743,Fast Food,,,,
4744,Cold Drinks,Japanese,Italian,Beverages,
4745,Korean,North Indian,,,
4746,South Indian,Mexican,Korean,,
4747,Beverages,Korean,,,
4748,Chinese,Fast Food,Italian,Cold Drinks,
4749,Italian,Chinese,South Indian,,
4750,Mexican,Italian,Fast Food,,
4751,Japanese,Cold Drinks,South Indian,Chinese,Italian
4752,Japanese,Cold Drinks,,,
4753,North Indian,South Indian,,,
4754,North Indian,,,,
4755,Mexican,,,,
4756,North Indian,South Indian,Cold Drinks,Chinese,Beverages
4757,Mexican,South Indian,Japanese,Beverages,Korean
4758,Cold Drinks,Chinese,,,
4759,Mexican,Cold Drinks,Italian,Fast Food,
4760,Beverages,,,,
4761,Japanese,Korean,,,
4762,South Indian,Mexican,Fast Food,,
4763,Japanese,Korean,North Indian,,
4764,Chinese,Beverages,,,
4765,Italian,,,,
4766,Korean,,,,
4767,Italian,Beverages,South Indian,Fast Food,Japanese
4768,Chinese,Korean,Fast Food,,
4769,Beverages,Fast Food,Korean,,
4770,Mexican,South Indian,,,
4771,South Indian,,,,
4772,Japanese,Chinese,,,
4773,Korean,North Indian,Beverages,,
4774,Beverages,Japanese,,,
4775,Korean,South Indian,North Indian,Italian,Fast Food
4776,Japanese,Chinese,North Indian,,
4777,Beverages,South Indian,Italian,North Indian,
4778,North Indian,Fast Food,Beverages,,
4779,Italian,Beverages,Chinese,Cold Drinks,
4780,Chinese,North Indian,Korean,Japanese,
4781,Beverages,Korean,Cold Drinks,Japanese,Fast Food
4782,Japanese,Fast Food,,,
4783,South Indian,Korean,North Indian,,
4784,Mexican,North Indian,Italian,Fast Food,South Indian
4785,Chinese,Japanese,,,
4786,Cold Drinks,Mexican,Chinese,Beverages,
4787,Fast Food,North Indian,,,
4788,Italian,,,,
4789,Fast Food,Beverages,Mexican,,
4790,Fast Food,Chinese,Japanese,Mexican,
4791,Korean,Cold Drinks,Italian,Japanese,
4792,Fast Food,South Indian,Chinese,Korean,North Indian
4793,Mexican,Japanese,South Indian,North Indian,
4794,Korean,Fast Food,Chinese,,
4795,Chinese,Cold Drinks,Mexican,,
4796,North Indian,Beverages,Chinese,South Indian,
4797,Beverages,Chinese,Mexican,Cold Drinks,
4798,Mexican,Cold Drinks,Chinese,Fast Food,
4799,Japanese,,,,
4800,South Indian,Korean,Italian,Beverages,
4801,South Indian,Fast Food,Korean,Mexican,
4802,Japanese,Korean,Cold Drinks,Chinese,
4803,North Indian,Chinese,,,
4804,Korean,Beverages,Mexican,Fast Food,
4805,North Indian,Cold Drinks,Italian,Japanese,
4806,Beverages,,,,
4807,Mexican,South Indian,,,
4808,Korean,Fast Food,Cold Drinks,,
4809,Chinese,South Indian,Cold Drinks,North Indian,
4810,North Indian,Chinese,Japanese,,
4811,Korean,Fast Food,Japanese,Italian,North Indian
4812,Korean,Italian,South Indian,,
4813,South Indian,Cold Drinks,Fast Food,Chinese,
4814,Fast Food,,,,
4815,Italian,Cold Drinks,,,
4816,Korean,Italian,Beverages,South Indian,North Indian
4817,Mexican,Chinese,South Indian,North Indian,
4818,Beverages,,,,
4819,North Indian,Italian,Japanese,,
4820,Italian,North Indian,Korean,Fast Food,South Indian
4821,Japanese,,,,
4822,Chinese,Italian,,,
4823,Chinese,Korean,Japanese,,
4824,North Indian,Beverages,South Indian,Japanese,Italian
4825,Fast Food,Italian,Korean,,
4826,Korean,,,,
4827,Chinese,,,,
4828,Japanese,South Indian,Cold Drinks,,
4829,Fast Food,South Indian,Mexican,,
4830,Cold Drinks,Korean,,,
4831,Japanese,North Indian,Chinese,,
4832,Chinese,Beverages,Italian,South Indian,Korean
4833,Fast Food,South Indian,,,
4834,Korean,Japanese,Chinese,Fast Food,South Indian
4835,Korean,Fast Food,Italian,,
4836,Mexican,Beverages,,,
4837,Fast Food,Mexican,Japanese,South Indian,
4838,Chinese,South Indian,Fast Food,,
4839,Beverages,Italian,Chinese,,
4840,Chinese,North Indian,South Indian,Italian,
4841,North Indian,Cold Drinks,Chinese,South Indian,Beverages
4842,Japanese,,,,
4843,Italian,Beverages,South Indian,Cold Drinks,Chinese
4844,Cold Drinks,Mexican,,,
4845,Japanese,South Indian,,,
4846,Japanese,Fast Food,Korean,,
4847,Japanese,Beverages,Fast Food,South Indian,
4848,Mexican,,,,
4849,Fast Food,,,,
4850,Italian,,,,
4851,Italian,,,,
4852,Japanese,Fast Food,,,
4853,Beverages,Cold Drinks,Fast Food,,
4854,Chinese,South Indian,Mexican,,
4855,Japanese,South Indian,,,
4856,Italian,Chinese,,,
4857,Mexican,Fast Food,Italian,Korean,
4858,Beverages,Fast Food,Japanese,,
4859,Fast Food,Mexican,Chinese,,
4860,Chinese,Korean,Italian,Beverages,
4861,Italian,Fast Food,,,
4862,South Indian,Beverages,,,
4863,Chinese,,,,
4864,South Indian,North Indian,Cold Drinks,Korean,Italian
4865,Mexican,,,,
4866,Beverages,Mexican,Korean,Chinese,Italian
4867,Mexican,Fast Food,Japanese,Italian,
4868,South Indian,Beverages,Mexican,,
4869,Chinese,South Indian,Cold Drinks,,
4870,North Indian,Cold Drinks,South Indian,Japanese,
4871,Cold Drinks,Chinese,,,
4872,Beverages,North Indian,,,
4873,Cold Drinks,Korean,North Indian,Mexican,
4874,Beverages,Korean,Japanese,,
4875,South Indian,,,,
4876,Chinese,,,,
4877,Cold Drinks,Beverages,Italian,North Indian,
4878,North Indian,Italian,,,
4879,Beverages,Japanese,,,
4880,Cold Drinks,Beverages,,,
4881,South Indian,Italian,Beverages,Fast Food,North Indian
4882,North Indian,Chinese,Fast Food,,
4883,Italian,North Indian,,,
4884,Italian,,,,
4885,Fast Food,,,,
4886,Japanese,,,,
4887,Fast Food,South Indian,Mexican,Beverages,
4888,Japanese,South Indian,Italian,Beverages,
4889,North Indian,Chinese,,,
4890,Chinese,Cold Drinks,Mexican,,
4891,Korean,Beverages,,,
4892,Korean,Italian,Mexican,Japanese,North Indian
4893,North Indian,Beverages,Fast Food,South Indian,
4894,Korean,Beverages,South Indian,North Indian,
4895,Korean,,,,
4896,Chinese,Beverages,,,
4897,Korean,North Indian,Mexican,,
4898,Mexican,Beverages,South Indian,,
4899,Mexican,Korean,North Indian,Cold Drinks,Italian
4900,Japanese,Cold Drinks,,,
4901,Beverages,Cold Drinks,Chinese,Korean,
4902,North Indian,South Indian,Chinese,,
4903,Cold Drinks,Beverages,Korean,South Indian,Chinese
4904,Mexican,,,,
4905,Japanese,Chinese,North Indian,Mexican,
4906,Italian,South Indian,,,
4907,Fast Food,,,,
4908,South Indian,Beverages,,,
4909,Beverages,Chinese,Italian,North Indian,
4910,Chinese,North Indian,Japanese,,
4911,Italian,North Indian,,,
4912,Italian,Mexican,Beverages,Korean,
4913,North Indian,Beverages,,,
4914,Fast Food,,,,
4915,Cold Drinks,Mexican,,,
4916,Italian,North Indian,Japanese,Beverages,Chinese
4917,North Indian,Korean,South Indian,Beverages,Japanese
4918,Cold Drinks,Beverages,,,
4919,Cold Drinks,,,,
4920,Korean,Italian,South Indian,Mexican,
4921,North Indian,,,,
4922,Fast Food,Cold Drinks,Italian,Beverages,
4923,Chinese,Mexican,,,
4924,Chinese,Mexican,South Indian,Japanese,
4925,Beverages,,,,
4926,South Indian,Mexican,,,
4927,Japanese,South Indian,North Indian,Mexican,
4928,Korean,Mexican,Cold Drinks,Fast Food,
4929,Japanese,Korean,Chinese,Fast Food,
4930,North Indian,Chinese,Beverages,Fast Food,Italian
4931,Beverages,Mexican,Korean,,
4932,Beverages,,,,
4933,Fast Food,North Indian,Japanese,,
4934,Mexican,Italian,North Indian,Korean,
4935,Italian,Japanese,North Indian,Mexican,Korean
4936,Fast Food,Beverages,Japanese,,
4937,Korean,Beverages,,,
4938,Mexican,Japanese,South Indian,,
4939,South Indian,Italian,,,
4940,Japanese,,,,
4941,Italian,Cold Drinks,North Indian,Fast Food,
4942,Korean,Fast Food,Chinese,Italian,Beverages
4943,Chinese,Japanese,Korean,,
4944,Korean,North Indian,South Indian,,
4945,North Indian,Japanese,,,
4946,Fast Food,Mexican,Chinese,South Indian,Korean
4947,Cold Drinks,Italian,Beverages,Korean,Japanese
4948,North Indian,Chinese,Fast Food,Mexican,Korean
4949,Cold Drinks,Chinese,North Indian,Mexican,Fast Food
4950,South Indian,,,,
4951,Cold Drinks,Chinese,North Indian,Korean,South Indian
4952,Japanese,Mexican,Cold Drinks,Chinese,Italian
4953,North Indian,Fast Food,Mexican,,
4954,Cold Drinks,,,,
4955,Beverages,Japanese,South Indian,Chinese,Fast Food
4956,Mexican,Beverages,,,
4957,Fast Food,,,,
4958,Fast Food,,,,
4959,Chinese,North Indian,,,
4960,Cold Drinks,Beverages,Italian,,
4961,Cold Drinks,South Indian,Mexican,,
4962,South Indian,North Indian,Mexican,,
4963,Cold Drinks,,,,
4964,Korean,Cold Drinks,,,
4965,North Indian,,,,
4966,Chinese,Korean,Italian,Japanese,South Indian
4967,Japanese,Mexican,North Indian,,
4968,Italian,,,,
4969,Mexican,Beverages,Chinese,Korean,Cold Drinks
4970,Chinese,,,,
4971,Chinese,Mexican,North Indian,Korean,South Indian
4972,North Indian,Mexican,Fast Food,South Indian,
4973,South Indian,North Indian,,,
4974,Korean,Beverages,South Indian,North Indian,Chinese
4975,Japanese,Beverages,Mexican,Fast Food,Cold Drinks
4976,Fast Food,Mexican,Chinese,,
4977,Cold Drinks,South Indian,,,
4978,Italian,Mexican,Korean,Chinese,South Indian
4979,Chinese,Cold Drinks,Korean,Beverages,Fast Food
4980,Beverages,Cold Drinks,Chinese,North Indian,
4981,Japanese,Korean,Italian,Fast Food,
4982,Chinese,,,,
4983,Fast Food,Japanese,Beverages,Mexican,
4984,Fast Food,North Indian,,,
4985,Mexican,Chinese,Italian,,
4986,Chinese,Korean,,,
4987,North Indian,Japanese,Cold Drinks,Italian,Korean
4988,Japanese,Mexican,Cold Drinks,,
4989,Korean,Cold Drinks,,,
4990,Beverages,Italian,Chinese,,
4991,Chinese,,,,
4992,Mexican,Japanese,Chinese,North Indian,
4993,Korean,Cold Drinks,Chinese,Japanese,
4994,South Indian,Cold Drinks,Korean,Fast Food,Italian
4995,Mexican,South Indian,Cold Drinks,Chinese,
4996,Japanese,Korean,Cold Drinks,Mexican,
4997,South Indian,Chinese,North Indian,Beverages,Italian
4998,Beverages,Chinese,North Indian,Cold Drinks,Italian
4999,Mexican,Japanese,Italian,,
5000,Cold Drinks,Chinese,Italian,South Indian,
5001,North Indian,Fast Food,Cold Drinks,Korean,Mexican
5002,Cold Drinks,South Indian,Chinese,North Indian,Mexican
5003,Beverages,Fast Food,,,
5004,Chinese,South Indian,North Indian,,
5005,Korean,Fast Food,South Indian,Japanese,
5006,South Indian,Korean,,,
5007,South Indian,Chinese,Korean,North Indian,Mexican
5008,Chinese,,,,
5009,Korean,South Indian,,,
5010,Japanese,Beverages,Fast Food,Chinese,
5011,Korean,Italian,North Indian,Beverages,Chinese
5012,Cold Drinks,Japanese,South Indian,,
5013,North Indian,Beverages,,,
5014,North Indian,,,,
5015,North Indian,Cold Drinks,Mexican,Korean,
5016,Mexican,South Indian,North Indian,Korean,
5017,North Indian,Korean,,,
5018,Korean,,,,
5019,Chinese,Korean,Japanese,,
5020,South Indian,Chinese,Fast Food,Cold Drinks,
5021,Cold Drinks,North Indian,Chinese,Korean,
5022,Korean,Japanese,Fast Food,,
5023,Beverages,,,,
5024,Korean,Fast Food,,,
5025,Mexican,Japanese,,,
5026,Korean,,,,
5027,South Indian,Fast Food,Italian,Korean,Mexican
5028,Korean,,,,
5029,North Indian,Cold Drinks,Mexican,,
5030,Fast Food,Korean,Mexican,Chinese,Japanese
5031,Japanese,South Indian,,,
5032,Japanese,Mexican,Italian,Cold Drinks,
5033,Chinese,Fast Food,Italian,Korean,
5034,Beverages,Mexican,North Indian,,
5035,Cold Drinks,,,,
5036,Mexican,Japanese,Korean,Chinese,
5037,Italian,,,,
5038,Japanese,North Indian,,,
5039,Chinese,Fast Food,North Indian,,
5040,South Indian,Beverages,Italian,Chinese,Fast Food
5041,Chinese,Japanese,Italian,,
5042,Cold Drinks,,,,
5043,Italian,Beverages,North Indian,,
5044,Cold Drinks,Beverages,South Indian,,
5045,Chinese,,,,
5046,Japanese,Korean,Italian,Mexican,South Indian
5047,Japanese,South Indian,Fast Food,,
5048,Mexican,Italian,South Indian,North Indian,Chinese
5049,North Indian,Mexican,,,
5050,North Indian,Italian,Beverages,Japanese,Fast Food
5051,Korean,Italian,Fast Food,Beverages,Mexican
5052,Chinese,Japanese,Mexican,Korean,Fast Food
5053,Korean,Italian,South Indian,,
5054,Beverages,Italian,Cold Drinks,Korean,North Indian
5055,Fast Food,,,,
5056,Fast Food,North Indian,South Indian,Italian,
5057,Italian,Beverages,Fast Food,Mexican,
5058,Mexican,Cold Drinks,,,
5059,Beverages,Japanese,Cold Drinks,,
5060,Fast Food,Chinese,Japanese,Beverages,Italian
5061,Korean,Japanese,North Indian,Fast Food,Beverages
5062,Chinese,Beverages,,,
5063,Beverages,Cold Drinks,South Indian,,
5064,South Indian,,,,
5065,Beverages,North Indian,Japanese,,
5066,South Indian,Italian,,,
5067,Japanese,Chinese,Italian,Fast Food,
5068,Mexican,Japanese,Chinese,,
5069,Italian,North Indian,Japanese,,
5070,South Indian,North Indian,Korean,Beverages,Mexican
5071,Beverages,Cold Drinks,Italian,,
5072,Fast Food,Korean,North Indian,Italian,South Indian
5073,Korean,,,,
5074,Italian,Korean,Japanese,Chinese,
5075,Korean,Cold Drinks,Italian,Chinese,
5076,Cold Drinks,Korean,,,
5077,Japanese,Chinese,Fast Food,Mexican,Beverages
5078,Korean,Mexican,Italian,Japanese,
5079,Chinese,Mexican,,,
5080,Mexican,Japanese,Italian,,
5081,Japanese,North Indian,Mexican,Beverages,Cold Drinks
5082,Beverages,Italian,Korean,Mexican,
5083,Italian,Cold Drinks,,,
5084,Beverages,Fast Food,,,
5085,Mexican,North Indian,Korean,Cold Drinks,Beverages
5086,Fast Food,Mexican,Beverages,,
5087,Italian,North Indian,Korean,,
5088,Beverages,Chinese,South Indian,Korean,Mexican
5089,North Indian,South Indian,Fast Food,Japanese,
5090,Chinese,,,,
5091,Beverages,Chinese,Cold Drinks,Japanese,
5092,Italian,South Indian,Cold Drinks,Fast Food,
5093,North Indian,Italian,Cold Drinks,,
5094,Japanese,,,,
5095,North Indian,Mexican,Italian,Beverages,
5096,Japanese,,,,
5097,Korean,Japanese,Mexican,Beverages,
5098,South Indian,North Indian,Italian,,
5099,Japanese,Beverages,,,
5100,Cold Drinks,Chinese,Korean,Italian,North Indian
5101,Chinese,Beverages,Mexican,North Indian,Japanese
5102,Beverages,Cold Drinks,Japanese,Fast Food,North Indian
5103,Fast Food,Chinese,Korean,Italian,
5104,North Indian,Cold Drinks,Beverages,Japanese,
5105,Fast Food,Korean,North Indian,,
5106,Japanese,Fast Food,Mexican,,
5107,Korean,Italian,Cold Drinks,Japanese,
5108,Italian,Beverages,,,
5109,Fast Food,,,,
5110,Mexican,Italian,South Indian,Fast Food,Cold Drinks
5111,Chinese,Japanese,Mexican,Fast Food,
5112,Japanese,Mexican,,,
5113,Korean,Cold Drinks,,,
5114,Chinese,Mexican,Japanese,Fast Food,Italian
5115,Beverages,,,,
5116,Chinese,Mexican,North Indian,,
5117,Cold Drinks,North Indian,Japanese,Chinese,
5118,Italian,Chinese,Japanese,Fast Food,Mexican
5119,Beverages,Cold Drinks,Italian,South Indian,
5120,North Indian,Cold Drinks,Italian,Fast Food,Chinese
5121,Italian,,,,
5122,Japanese,Italian,South Indian,Beverages,Cold Drinks
5123,Italian,Japanese,,,
5124,Mexican,Korean,Chinese,Italian,Cold Drinks
5125,Cold Drinks,South Indian,Italian,,
5126,Cold Drinks,Beverages,Japanese,Fast Food,Chinese
5127,Cold Drinks,Korean,Chinese,Italian,Beverages
5128,Japanese,,,,
5129,Chinese,Cold Drinks,North Indian,,
5130,Japanese,Fast Food,South Indian,Italian,
5131,Cold Drinks,,,,
5132,Fast Food,Japanese,,,
5133,Italian,Cold Drinks,Beverages,,
5134,South Indian,Chinese,Japanese,Cold Drinks,
5135,Chinese,,,,
5136,Chinese,,,,
5137,Japanese,Mexican,Cold Drinks,Korean,
5138,Korean,Mexican,Italian,Chinese,
5139,Mexican,Fast Food,Beverages,,
5140,South Indian,Japanese,Mexican,Fast Food,North Indian
5141,Korean,Fast Food,Japanese,Italian,
5142,South Indian,Korean,Italian,,
5143,Japanese,Fast Food,Chinese,Italian,
5144,Cold Drinks,Korean,,,
5145,Japanese,North Indian,,,
5146,Italian,Chinese,Fast Food,,
5147,Beverages,Japanese,Mexican,Korean,
5148,Japanese,Chinese,Italian,,
5149,Fast Food,Korean,,,
5150,South Indian,Japanese,,,
5151,Cold Drinks,Beverages,Chinese,Italian,
5152,Japanese,,,,
5153,Mexican,,,,
5154,Korean,Mexican,Chinese,,
5155,Korean,Mexican,North Indian,Chinese,South Indian
5156,Italian,Chinese,,,
5157,North Indian,Chinese,Japanese,,
5158,Fast Food,Beverages,Italian,,
5159,Beverages,Fast Food,North Indian,,
5160,Cold Drinks,Japanese,Mexican,Italian,
5161,Italian,,,,
5162,Beverages,Fast Food,South Indian,,
5163,North Indian,Beverages,,,
5164,Korean,Mexican,Italian,,
5165,Italian,South Indian,North Indian,Cold Drinks,Chinese
5166,Beverages,Korean,Chinese,,
5167,Cold Drinks,South Indian,North Indian,Japanese,Korean
5168,Chinese,Beverages,Fast Food,North Indian,
5169,Beverages,Korean,,,
5170,Chinese,Cold Drinks,Fast Food,,
5171,Japanese,North Indian,Beverages,Fast Food,Cold Drinks
5172,Cold Drinks,Fast Food,Korean,South Indian,
5173,South Indian,Beverages,,,
5174,Chinese,North Indian,Mexican,Cold Drinks,Beverages
5175,North Indian,Chinese,,,
5176,North Indian,Fast Food,,,
5177,Cold Drinks,Japanese,,,
5178,Mexican,Cold Drinks,,,
5179,Italian,South Indian,Fast Food,Korean,
5180,Cold Drinks,Mexican,,,
5181,South Indian,Mexican,Italian,Cold Drinks,
5182,Cold Drinks,South Indian,Chinese,Mexican,North Indian
5183,Mexican,North Indian,South Indian,Cold Drinks,Italian
5184,South Indian,Japanese,Italian,,
5185,Mexican,North Indian,,,
5186,Beverages,Fast Food,,,
5187,Beverages,,,,
5188,Chinese,Mexican,Japanese,Italian,
5189,Italian,Japanese,North Indian,,
5190,North Indian,Japanese,,,
5191,Cold Drinks,Fast Food,Japanese,,
5192,Beverages,Japanese,Cold Drinks,Chinese,North Indian
5193,Chinese,,,,
5194,Fast Food,Beverages,,,
5195,Mexican,South Indian,Italian,Japanese,
5196,Japanese,,,,
5197,Korean,Chinese,Italian,,
5198,Beverages,Korean,Mexican,Fast Food,Cold Drinks
5199,South Indian,,,,
5200,Mexican,Chinese,Japanese,North Indian,
5201,Chinese,Fast Food,Beverages,,
5202,Japanese,Italian,,,
5203,South Indian,Mexican,Korean,Chinese,North Indian
5204,Mexican,Korean,Beverages,Japanese,South Indian
5205,Chinese,Mexican,Cold Drinks,Korean,North Indian
5206,Beverages,Japanese,,,
5207,Fast Food,South Indian,Cold Drinks,Korean,Italian
5208,Italian,South Indian,Chinese,,
5209,Beverages,,,,
5210,Cold Drinks,Chinese,,,
5211,Fast Food,Korean,,,
5212,Korean,North Indian,,,
5213,Mexican,Beverages,Chinese,,
5214,Japanese,Italian,Fast Food,Chinese,
5215,Beverages,Japanese,Fast Food,,
5216,South Indian,Korean,,,
5217,Italian,,,,
5218,South Indian,Italian,Cold Drinks,Korean,North Indian
5219,Fast Food,Japanese,Beverages,Mexican,South Indian
5220,Beverages,Cold Drinks,,,
5221,Cold Drinks,Beverages,Chinese,North Indian,South Indian
5222,Italian,Mexican,Beverages,Chinese,
5223,Chinese,South Indian,Fast Food,Mexican,
5224,North Indian,Chinese,,,
5225,Beverages,Chinese,Fast Food,North Indian,
5226,Cold Drinks,Fast Food,,,
5227,Italian,Japanese,Cold Drinks,South Indian,North Indian
5228,Beverages,,,,
5229,Beverages,Japanese,Italian,Fast Food,
5230,Italian,South Indian,Japanese,Beverages,
5231,Italian,Chinese,North Indian,Cold Drinks,Mexican
5232,Mexican,South Indian,,,
5233,Fast Food,North Indian,,,
5234,North Indian,Korean,Fast Food,,
5235,Korean,,,,
5236,North Indian,Japanese,South Indian,Italian,
5237,Mexican,North Indian,Italian,Cold Drinks,
5238,Beverages,Japanese,Fast Food,Cold Drinks,
5239,Japanese,Korean,North Indian,South Indian,
5240,North Indian,,,,
5241,North Indian,,,,
5242,Italian,,,,
5243,Beverages,North Indian,South Indian,Japanese,Fast Food
5244,Japanese,Fast Food,,,
5245,Mexican,,,,
5246,Mexican,Fast Food,North Indian,Cold Drinks,
5247,Fast Food,Italian,Beverages,Chinese,Cold Drinks
5248,Beverages,Cold Drinks,Mexican,,
5249,Korean,Cold Drinks,North Indian,,
5250,Mexican,,,,
5251,North Indian,Fast Food,Chinese,,
5252,Italian,Beverages,,,
5253,Korean,Fast Food,North Indian,Cold Drinks,
5254,Mexican,Japanese,,,
5255,Fast Food,Korean,Italian,South Indian,North Indian
5256,Italian,South Indian,Chinese,Fast Food,Cold Drinks
5257,Cold Drinks,Italian,Chinese,,
5258,Chinese,Fast Food,Japanese,,
5259,Beverages,,,,
5260,North Indian,South Indian,Mexican,Fast Food,
5261,Korean,Cold Drinks,North Indian,,
5262,North Indian,Fast Food,Korean,South Indian,
5263,Chinese,Korean,Fast Food,,
5264,Beverages,South Indian,Mexican,,
5265,Fast Food,North Indian,Beverages,,
5266,Mexican,North Indian,South Indian,Cold Drinks,
5267,Korean,South Indian,Italian,Beverages,
5268,Chinese,South Indian,Italian,Fast Food,Japanese
